연번,훈련기관명,훈련기관위치,주소,위도,경도,훈련기관계열구분
5318,(주)농식품인증관리원,경기 수원시 장안구,(16361) 경기도 수원시 장안구 율전로 105 종욱빌딩 401호,126.9686741,37.29856715,
5319,행복샘요양보호사교육원,경기 의정부시,(11815) 경기도 의정부시 용민로 469 보광더존프라자401호,127.1180088,37.75187568,
5320,주식회사에코프로머티리얼즈,경북 포항시 북구,(37948) 경상북도 포항시 북구 영일만산단남로75번길 15 ,,,
5321,디딤컴퓨터아카데미학원,전북 전주시 덕진구,(54898) 전라북도 전주시 덕진구 기린대로 450 2층,127.1280016,35.84088449,
5322,울산마이스터고등학교,울산 북구,(44246) 울산광역시 북구 율동6길 7 울산마이스터고등학교,129.3779052,35.56070662,
5323,김포삼성중장비전문학원,경기 김포시,(10026) 경기도 김포시 대곶면 쇄암로 4 김포삼성중장비전문학원,,,
5324,대구이용학원,대구 남구,(42474) 대구광역시 남구 두류공원로 29 ,,,
5325,주식회사AL네트웍스,대구 달서구,(42702) 대구광역시 달서구 성서서로51길 40 1층 (주)AL네트웍스,128.4953728,35.84787569,
5326,더큰평생교육원,경기 시흥시,(15066) 경기도 시흥시 중심상가로 178 (정왕동 한라프라자) 304호,126.7349198,37.34475228,
5327,새수원간호학원,경기 수원시 권선구,(16624) 경기도 수원시 권선구 매송고색로 723 201호,126.9834272,37.25177112,
5328,지엠테크니컬센터코리아주식회사,인천 부평구,(21334) 인천광역시 부평구 부평대로 233 지엠테크니컬센터코리아,126.7146382,37.51022755,
5329,에어서울주식회사,인천 중구,(22382) 인천광역시 중구 공항로 272 (운서동 인천공항) 2층,126.4408326,37.4794556,
5330,고139이미용학원,인천 남동구,(21559) 인천광역시 남동구 문화로 139 고헤어2층,126.6994712,37.45146286,
5331,(주)한국라디에터,경기 양주시,(11400) 경기도 양주시 감악산로 565 (주)한국라디에터,126.9579092,37.90887646,
5332,봉황기업,경기 김포시,(10110) 경기도 김포시 장릉로 28 봉황기업,126.7217966,37.61291158,
5333,제이디씨파트너스주식회사(JDCPARTNERS),제주 제주시,(63309) 제주특별자치도 제주시 첨단로 213-4 (영평동 JDC엘리트빌딩) 1층 103호,126.5725585,33.45291482,
5334,(주)그린아산,충남 아산시,(31420) 충청남도 아산시 충무로 1611-31 (주)그린아산,127.0315422,36.91386382,
5335,한빛미디어(주),서울 서대문구,(03785) 서울특별시 서대문구 연희로2길 62 1층 리더스홀,126.9278341,37.5590916,
5336,한빛아카데미(주),서울 서대문구,(03785) 서울특별시 서대문구 연희로2길 62 2층,126.9278115,37.55909159,
5337,(주)성보산업,경북 구미시,(39380) 경상북도 구미시 공단동 1공단로6길 151-3 (주)성보산업,128.3777351,36.08879485,
5338,대한건설기술학원,광주 서구,(61927) 광주광역시 서구 대남대로450번길 4-1 2층 대한건설기술학원,126.8873775,35.15049121,
5339,(주)웅진씽크빅,경기 파주시,(10881) 경기도 파주시 회동길 20 웅진씽크빅,126.6848805,37.70448208,
5340,(주)세영통신,경기 광명시,(14306) 경기도 광명시 하안로 294-9 (하안동 양정빌딩) 402호,126.8809324,37.46245723,
5341,(주)다원섬유(TEXTILE),경기 양주시,(11494) 경기도 양주시 광사로 126 제 1동 2층,127.0820159,37.78369992,
5342,주식회사엠스타,경북 칠곡군,(39805) 경상북도 칠곡군 금오대로 81 ,,,
5343,(주)오마쥬서문직업전문학교,대구 달서구,(42660) 대구광역시 달서구 달구벌대로 1816 2층 서문직업전문학교,128.5636126,35.85935422,
5344,세정도배기술학원,대전 동구,(34547) 대전광역시 동구 계족로 438 (용전동) 2층,127.4325973,36.35082821,
5345,부천시장애인종합복지관,경기 부천시,(14471) 경기도 부천시 역곡로 367 부천시장애인종합복지관,126.8136531,37.51745539,
5346,번동요양보호사교육원,서울 강북구,"(01231) 서울특별시 강북구 월계로 187 3층 301호(번동, 상아빌딩)",127.0453019,37.62094205,
5347,(주)세아씨엔티,광주 광산구,(62243) 광주광역시 광산구 하남산단천변우로 66 ,,,
5348,꼬끌리플로리스트학원,경기 수원시 팔달구,"(16456) 경기도 수원시 팔달구 향교로47번길 2 (매산로2가) 2층 일부, 4층 일부 (매산로2가, 한림빌딩)",127.0061402,37.26943286,
5349,(주)티웨이에어서비스,서울 강서구,(07505) 서울특별시 강서구 하늘길 210 김포공항 화물청사 205-3,126.8084272,37.55666683,
5350,진효요양보호사교육원,서울 동대문구,(02564) 서울특별시 동대문구 왕산로32길 96 (용두동) 3층,127.0397743,37.57520125,
5351,대영컴퓨터전문학원,전북 익산시,(54661) 전라북도 익산시 고현로 114 (모현동1가) 4층,126.9442176,35.94717321,
5352,인덕대학교,서울 노원구,(01878) 서울특별시 노원구 초안산로 12 ,,,
5353,낙원노블레스요양보호사교육원,경기 동두천시,(11330) 경기도 동두천시 어수로83번길 36 (생연동 파크타운주상복합아파트) 203호,127.052593,37.90399152,
5354,(주)케이에스한국고용정보,서울 성동구,(04794) 서울특별시 성동구 아차산로 113 9층 한국고용정보,127.0569362,37.54459723,
5355,여기조은요양보호사교육원,서울 성북구,(02852) 서울특별시 성북구 보문로 88 (보문동4가) 통광제3빌딩 2층,127.0207697,37.58306221,
